spiromesifen chronic 657628, concentrations in ng/bee/day
Survival time [d]	Control	T1	T2	T3	T4	T5
0	30	30	30	30	30	30
1	30	30	30	30	30	30
2	30	30	30	30	30	30
3	30	30	30	29	30	29
4	30	30	30	29	29	21
5	30	30	30	28	27	13
6	30	30	30	28	26	10
7	30	30	30	27	22	5
8	30	30	30	27	19	4
9	29	30	30	26	16	0
10	28	30	28	26	13	0
Concentration unit:	ng/bee/day
Concentration time [d]	Control	T1	T2	T3	T4	T5
0	0	11	40	120	270	600
0.166	0	11	40	120	270	600
0.291	0	11	40	120	270	600
1	0	11	40	120	270	600
2	0	11	40	120	270	600
3	0	11	40	120	270	600
5	0	11	40	120	270	600
10	0	11	40	120	270	600
