Bayer BXH chronic. M483226
Concentrations in mg ai/kg
Survival time [d]	Control	T1	T2	T3
0	100	100	100	100
1	99	98	100	98
2	99	95	98	60
3	99	95	92	35
4	99	95	90	35
5	99	95	88	25
6	99	95	85	18
7	99	95	85	15
8	99	92	85	12
9	99	92	82	12
10	99	85	82	12
Concentration unit: mg ai/kg
Concentration time [d]	Control	T1	T2	T3
0	0	150	255	434
0.0417	0	150	255	434
0.5417	0	150	255	434
1.0417	0	150	255	434
1.5417	0	150	255	434
2.0417	0	150	255	434
4	0	150	255	434
8	0	150	255	434
10	0	150	255	434
