Ethiprole chronic test, report nr 581904
concentrations in ug/bee/day
Survival time [d]	Control	T1	T2	T3	T4	T5
0	40	40	40	40	40	40
1	40	40	40	40	40	40
2	40	40	40	40	40	38
3	40	40	40	40	38	35
4	40	40	40	40	35	26
5	40	40	40	39	35	23
6	40	40	40	38	34	14
7	40	40	40	37	33	13
8	40	40	40	36	32	10
9	40	40	40	36	30	4
10	40	40	40	36	28	3
Concentration unit:	ug/bee/day
Concentration time [d]	Control	T1	T2	T3	T4	T5
0	0	0.14	0.26	0.37	0.59	1.1
1	0	0.14	0.26	0.37	0.59	1.1
2	0	0.14	0.26	0.37	0.59	1.1
3	0	0.14	0.26	0.37	0.59	1.1
4	0	0.14	0.26	0.37	0.59	1.1
5	0	0.14	0.26	0.37	0.59	1.1
8	0	0.14	0.26	0.37	0.59	1.1
10	0	0.14	0.26	0.37	0.59	1.1
