Fenamidone chronic test, report nr 470658
concentrations in ug/bee/day
Survival time [d]	Control	T1	T2	T3	T4	T5
0	100	40	40	40	40	40
1	100	39	40	40	38	38
2	100	39	40	39	35	26
3	100	39	40	38	30	22
4	100	39	40	36	23	14
5	100	39	40	35	21	9
6	100	39	40	35	19	7
7	100	39	40	32	16	6
8	100	39	39	30	12	3
9	100	39	39	29	9	1
10	100	39	39	15	8	1
Concentration unit:	ug/bee/day
Concentration time [d]	Control	T1	T2	T3	T4	T5
0	0	0.42	0.8	1.69	5.77	18.1
1	0	0.42	0.8	1.69	5.77	18.1
2	0	0.42	0.8	1.69	5.77	18.1
3	0	0.42	0.8	1.69	5.77	18.1
4	0	0.42	0.8	1.69	5.77	18.1
5	0	0.42	0.8	1.69	5.77	18.1
8	0	0.42	0.8	1.69	5.77	18.1
10	0	0.42	0.8	1.69	5.77	18.1
