fenoxaprop chronic test, report nr 577004
concentrations in ug/bee/day
Survival time [d]	Control	T1	T2	T3	T4	T5
0	30	30	30	30	30	30
1	30	30	30	30	25	23
2	30	30	29	29	20	15
3	30	30	29	28	18	6
4	30	30	29	27	16	0
5	30	30	29	27	10	0
6	30	30	29	25	10	0
7	30	30	28	22	7	0
8	30	30	28	21	5	0
9	30	30	24	16	3	0
10	30	30	24	14	0	0
Concentration unit:	ug/bee/day
Concentration time [d]	Control	T1	T2	T3	T4	T5
0	0	3.95	7.15	11.22	18.77	27.45
1	0	3.95	7.15	11.22	18.77	27.45
2	0	3.95	7.15	11.22	18.77	27.45
10	0	3.95	7.15	11.22	18.77	27.45
