Metribuzin chronisch 540903
Concentrations in ug/bee*day
Survival time [d]	Control	T1	T2	T3	T4	T5
0	40	40	40	40	40	40
1	40	40	40	40	40	40
2	40	40	40	40	40	40
3	40	40	39	40	40	34
4	40	40	39	40	37	25
5	40	40	39	40	36	18
6	40	40	39	40	36	12
7	40	40	39	40	30	5
8	40	40	39	40	25	0
9	40	40	39	38	19	0
10	40	40	39	36	11	0
Concentration unit:	ug/bee*day
Concentration time [d]	Control	T1	T2	T3	T4	T5
0	0	2.37	4.43	6.48	10.37	15.77
1	0	2.37	4.43	6.48	10.37	15.77
2	0	2.37	4.43	6.48	10.37	15.77
3	0	2.37	4.43	6.48	10.37	15.77
4	0	2.37	4.43	6.48	10.37	15.77
5	0	2.37	4.43	6.48	10.37	15.77
8	0	2.37	4.43	6.48	10.37	15.77
10	0	2.37	4.43	6.48	10.37	15.77
