tertaniliprole chronic test, report nr 551955
concentrations in ng/bee/day (!)
Survival time [d]	Control	T1	T2	T3	T4	T5
0	30	30	30	30	30	30
1	30	30	30	30	30	25
2	30	30	30	30	30	14
3	30	30	30	30	28	6
4	30	30	30	30	24	1
5	30	30	30	30	22	0
6	30	30	30	30	19	0
7	30	30	30	30	16	0
8	30	30	30	30	16	0
9	30	30	30	29	12	0
10	29	30	30	29	12	0
Concentration unit:	ng/bee/day
Concentration time [d]	Control	T1	T2	T3	T4	T5
0	0	1.22	3.11	7.23	14.1	38.6
1	0	1.22	3.11	7.23	14.1	38.6
2	0	1.22	3.11	7.23	14.1	38.6
3	0	1.22	3.11	7.23	14.1	38.6
4	0	1.22	3.11	7.23	14.1	38.6
5	0	1.22	3.11	7.23	14.1	38.6
8	0	1.22	3.11	7.23	14.1	38.6
10	0	1.22	3.11	7.23	14.1	38.6
